code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
003-LKDHYD,Huvinhedigi,Krishna,Krishna,Karnataka,Raichur,"Lower Krishna Division(LKD), Hyderabad",16.490277777777777,76.92305555555556,342.24,355.24,356.24,358.35,2019-08-11
003-LYDAGRa,DHOLPUR,Chambal,Ganga,Rajasthan,DHOLPUR,"Lower Yamuna Division(LYD), Agra",26.659444444444443,77.90305555555557,109.0,129.79,130.79,146.57,2022-08-25
003-MAHGAND,Dhariawad,Jakham,Mahi,Rajasthan,PRATAPGARH,"Executive Engineer, Mahi Divison, Gandhinagar",24.086388888888887,74.47555555555556,203.0,,,211.0,2016-08-21
003-MBDGHY,Matunga,Kalanadi,Brahmaputra,Assam,Baksa,"Middle Brahmaputra Division (MBD), Guwahati",26.79140555555556,91.53582222222222,0.0,,,168.18,1980-07-19
003-MDSIL,NUTANBAZAR GD SITE,Juri,Barak and Others,Tripura,NORTH TRIPURA,"Meghna Division(MD), Silchar",24.41861111111111,92.17055555555557,13.0,18.5,19.5,20.66,2024-08-22
003-MGD1LKN,Kakardhari,Rapti,Ganga,Uttar Pradesh,SHRAWASTI,"Middle Ganga Division-I(MGD-I), Lucknow",27.89527777777778,81.77444444444444,120.0,130.0,131.0,132.37,2014-08-15
003-MGD3VNS,Allahabad,Ganga,Ganga,Uttar Pradesh,PRAYGRAJ,"Middle Ganga Division-III(MGD-III), Varanasi",25.403055555555557,81.9113888888889,69.0,83.734,84.734,88.03,1978-09-08
003-MGD5PTN,Gandhighat,Ganga,Ganga,Bihar,PATNA,"Lower Ganga Division-II(LGD-II), Patna",25.62333333333333,85.17111111111112,40.0,47.6,48.6,50.52,2016-08-21
003-NDBHP,Mohgaon,Burhner,Narmada,Madhya Pradesh,MANDLA,"Narmada Division(ND), Bhopal",22.76580555555556,80.62330555555555,447.0,463.0,464.5,467.3,2004-08-08
003-SHDSIM,NATHPA,Satluj,Indus,Himachal Pradesh,KINNAUR,"Snow Hydrology Division(SHD), Shimla",31.566111111111116,77.9655,1434.0,,,1451.0,2005-06-26
