code,name
041-DDASAL,PUTKI
028-ddasl,Simulia
036-MDBURLA,Naraj
GYI00A3,KORA-OLD
NBO-0-039-1240,Sip at Dholpur
050,Motipur
020-NDBHP,Belkhedi
001-MGD2LKN,NARORA Barrage
048,Kabu basti (Kambang)
018-DDASL,Massanjore Dam
009-LBDJPG,Rangpo
001-MBDGHY,Guwahati(D.C.Court)
057-HGDDDN,Karnaprayag (A)
028-LBDJPG,Mathabhanga
029-ERDBWN,Purusottampur
023-ERDBWN,Jenapur
021-NDBHP,Dhulsar
017-lkdhyd,Nagarjuna Sagar Dam
CW1WEI000075,Sanjay Sarovar Project
018-ubddib,Sivasagar
005-SWRDKOCHI,KUNIYIL
0024-SWRDKOCHI,Idukki (Eb)/Idukki Arch Reservoir
030-HGDDDN,Gangotri
011-DDASL	,Konar Reservoir
013-lkdhyd,Mantralayam
036-MGD3VNS,NIWARI
027-MGD5PTN,Maner
005-LBDJPG,Dhubri
029-mgd3vns,Ahrora
015-HGDDDN,Haridwar (Dudhia Band)
015-mgd2lkn,Bani
018-mgd4ptn,Hayaghat
008-LBDJPG,Golokganj
028-UBDDIB,Bana
034-CDJAPR,Nahargarh
057-TDSURAT,SAGBARA
NBO-1-017-1218,Hiran at Singaldeep
052-MGD1LKN,Katerniaghat Barrage
017-ukdpune,Mahad
NBO-2-036-1237,Awalighat
047-UYDDEL,Palwal/Rahimpur
026-CDJAPR,Astha
016-ukdpune,Dhond
NBO-1-049-1250,Choral at Barwah
006-mgd4ptn,Rosera
014-CDJAPR,Chittorgarh
018-HGDDDN,Sataynarayan
040LBDJPG,Matigara
026-DDASL,Natunhat
010-DDASL	,Panchat Reservoir
027-DDASL,Phulberia
005-DDASL	,Maithon Reservoir
014-mgd4ptn,Ekmighat
47-LGDHYD,Upper Indravati Dam
014-MDBURLA,Salebhata
SEEDHI,SEEDHI
051-mgd2lkn,Anupshahar
035-MAHGAND ,Balotra 
033-LBDJPG,AIE NH XING
073-mgd5ptn,Indrapuri Barrage
029-ukdpune,Paragaon
38-MGD3VNS,REWA
013 NDBHP, Sandia
012-SWRDKOCHI,NEELEESWARAM
027-UBDDIB,Seppa
058-erdbwn,Galudih Barrage
002-mgd2lkn,Kachhlabridge
005-MBDGHY,DRF
015-LBDJPG,CORONATION
36-UBDDIB,Ranganadi NT Road crossing
015-DDASL	,Harinkhola
048-UYDDEL,Piprauli
031_mgd2lkn,Sitapur
028-HGDDDN,Harshil
034-UYDDEL,Dadahu/Renuka
007-SRDCBE,THEVUR
FF-1,Teesta- 3 Dam
012-mgd2lkn,Kanpur
070-UBDDIB,TAMEN
NBO-1-028-1230,Barna Reservoir
005-NDBHP,Pati
Lilong-7,Lilong_WLR
031-MGD3VNS,Chakghat
031-HGDDDN,Birahi
005-UYDDEL,Haripur
033-UYDDEL,Kalsi
032-ADSL,Mohanpur
0052-SRDCBE,Madurai
008NEID3,Jotte
042-UYDDEL,Titawi
010213ua3,Khandiovari
Prakasambarrage,Prakasam Barrage
009-MBDGHY,Lakhipur
046-mgd2lkn,Ram nagar Barrage
030-UYDDEL,Attal
0031-LKDHYD,Musi Dam
003-LKDHYD,Huvinhedigi
006-SWRDKOCHI,KARATHODU
019-mgd5ptn,Palmerganj
002-SWRDKOCHI,PERUMANNU
011-MAHGAND,Som Kamla Amba Dam
005-wgdngp,Sitekasa
011-mgd2lkn,Ankinghat
024-UBDDIB,Numaligarh
026-SWRDKOCHI,POOKKAYAM
042CDJAPR,Gambhiri Dam
028-mgd4ptn,Taibpur
026-LBDJPG,Nagrakata
37-DDASL,BHAIRWA DAM
039-UYDDEL,Panchkuan
033-MGD4PTN,Sakra
014-UBDDIB,Dillighat
049-ugdhyd,LAXMI BARRAGE
030-LGDHYD,Chinturu (Tallagudem/Kummuru)
006-LGDHYD,Jagdalpur
047-ERDBWN,Madduvalasa
021-UBDDIB,Chouldhowaghat
013-mgd4ptn,Kamtaul
035-SRDCBE,Gandhavayal
009-CDJAPR,Tonk
026-mgd4ptn,Galgalia
013-mgd2lkn,Dalmau
004-NDBHP,Chhidgaon
015-UYDDEL,Delhi Railway Bridge
028-UYDDEL,Aglarpul
010-MAHGAND,Panam Dam
011-LYDAGRA,GARRAULI
020-LGD3BEH,BARIOL
0034-cdbng,Krishnarajasagar Reservoir
034-UBDDIB,Dharamtul
021-LBDJPG,Gazoldoba
035-HDCHENNAI,Melkalpoondi
006-LBDJPG,Barabisha
008-MGD5PTN,Sahibganj
030-MBDGHY,Harangajao
040-MGD3VAR,MAU
016-lkdhyd,Srisailam Reservoir
061-MGD4PTN,GANDAK BARRAGE
039-Mgd2lkn,Kasganj
047-MGD3VNS,TENDUI
019-MGD1LKN,Bansi 
044-mgd2lkn,Nagina
034-HDCHENNAI,Kalpadai
034-UGDHYD,Mula Dam
012-ubddib,Naharkatia
027-HGDDDN,Gangnani
010- SRDCBE,NELLITHURAI
021-HGDDDN,Nandprayag
012-HGDDDN,Ganga Nagar
074-MGD2LKN,Kalagarh Dam
019-HGDDDN,Dharasu
48-lgdhyd,Upper Kolab Dam 
007-mgd4ptn,Khagaria
022-DDASL,Narayanpur
032-UBDDIB,Kheronighat
047-mgd2lkn,Kathgodam
016-mgd4ptn,Runisaidpur
NDB-WQSS-202012,D/S HOSHANGABAD
006-chejmu,Safapora
032-LYDAGRA,KIRAOLI
NBO-1-055-1256,Deb at Khajuri
012-TDSURAT,YERLI
01-11-03-001,Fakirabazar
039-SRDCBE,Kukkalthurai
021-SWRDKOCHI,AYILAM 
